#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
-20.0,1,0.689003
-20.0,1,0.689054
-20.0,1,0.689083
-20.0,1,0.689523
-20.0,1,0.689556
-20.0,1,0.689606
-20.0,1,0.689643
-20.0,1,0.690069
-20.0,1,0.690104
-20.0,1,0.690171
-20.0,1,0.6902
6.877809,3,0.690695
-20.0,1,0.690729
-20.0,1,0.691185
-20.0,1,0.691218
-20.0,1,0.691253
-20.0,1,0.691285
6.908589,3,0.691794
-20.0,1,0.691828
-20.0,1,0.692276
-20.0,1,0.692308
-20.0,1,0.692353
6.654158,3,0.692874
-20.0,1,0.692909
-20.0,1,0.692938
-20.0,1,0.693372
-20.0,1,0.693403
-20.0,1,0.693429
-20.0,1,0.693454
-20.0,1,0.693882
8.164978,3,0.693959
-20.0,1,0.694384
6.981562,3,0.694456
-19.8,3,0.694964
-20.0,1,0.694991
-20.0,1,0.69541
-20.0,1,0.695442
-20.0,1,0.695489
-20.0,1,0.695519
-20.0,1,0.695946
-20.0,1,0.695977
-20.0,1,0.696021
5.90686,3,0.69656
7.426387,3,0.697111
-20.0,1,0.697145
-19.9,2,0.697213
-20.0,1,0.697625
-20.0,1,0.697662
1.417481,3,0.69812
-20.0,1,0.698178
-20.0,1,0.698209
-20.0,1,0.698239
-20.0,1,0.698659
-20.0,1,0.698721
-20.0,1,0.698752
-20.0,1,0.698781
-20.0,1,0.699203
-19.9,2,0.699289
-20.0,1,0.69932
-20.0,1,0.699742
-20.0,1,0.699778
-19.8,3,0.7003
-20.0,1,0.700336
-20.0,1,0.700366
-20.0,1,0.700395
-20.0,1,0.700835
-20.0,1,0.700869
7.246279,3,0.701375
-20.0,1,0.70141
-20.0,1,0.701461
-19.9,2,0.701904
-20.0,1,0.701938
-20.0,1,0.701967
-20.0,1,0.702015
-20.0,1,0.702419
6.849704,3,0.702497
6.993682,3,0.703021
-20.0,1,0.703069
6.866844,3,0.703595
-20.0,1,0.703635
-20.0,1,0.704197
6.886874,3,0.704309
-20.0,1,0.704887
-20.0,1,0.704922
5.528695,3,0.705404
-20.0,1,0.705466
6.950144,3,0.706073
-19.9,2,0.706132
-20.0,1,0.706167
-20.0,1,0.706613
-20.0,1,0.706651
-20.0,1,0.706681
-20.0,1,0.706711
-20.0,1,0.707162
-20.0,1,0.707201
6.875404,3,0.707678
-20.0,1,0.707716
-20.0,1,0.707768
-20.0,1,0.707798
-20.0,1,0.708222
-20.0,1,0.708256
7.003133,3,0.708839
-20.0,1,0.708877
-20.0,1,0.708906
7.149831,3,0.709438
-20.0,1,0.709486
0.595002,3,0.709946
-20.0,1,0.709976
-20.0,1,0.710002
-20.0,1,0.710435
-20.0,1,0.710475
-20.0,1,0.710506
-20.0,1,0.710531
-20.0,1,0.71096
-20.0,1,0.710991
-19.9,2,0.71109
-20.0,1,0.711523
-20.0,1,0.711583
-20.0,1,0.711615
-20.0,1,0.711645
-20.0,1,0.712061
-20.0,1,0.712116
-20.0,1,0.712146
6.041499,3,0.712622
-19.9,2,0.712727
-20.0,1,0.713166
-20.0,1,0.713199
-20.0,1,0.713227
-20.0,1,0.713253
-20.0,1,0.713679
-20.0,1,0.713713
-20.0,1,0.713741
-20.0,1,0.713769
-20.0,1,0.714219
-20.0,1,0.714251
-20.0,1,0.714277
-20.0,1,0.714304
-20.0,1,0.714729
-20.0,1,0.714763
6.052454,3,0.715234
5.964061,3,0.71531
-20.0,1,0.715748
-20.0,1,0.715784
-19.9,2,0.715885
-20.0,1,0.716299
-20.0,1,0.716355
-20.0,1,0.716385
-20.0,1,0.716413
-20.0,1,0.716849
-20.0,1,0.7169
-20.0,1,0.716926
-20.0,1,0.716951
6.186655,3,0.717518
-20.0,1,0.717578
-20.0,1,0.718005
-20.0,1,0.718035
-20.0,1,0.71806
